path	block_type	mask_type	reference_block	link_status	runtime_token
IEEE39bus/ARTEMIS Guide	Reference			unresolved	artemis
IEEE39bus/Model Initialization	SubSystem	Model Functions		inactive	
IEEE39bus/SC_Console	SubSystem			none	
IEEE39bus/SC_Console/Measurements	Inport			none	
IEEE39bus/SC_Console/Demux1	Demux			none	
IEEE39bus/SC_Console/Demux10	Demux			none	
IEEE39bus/SC_Console/Demux11	Demux			none	
IEEE39bus/SC_Console/Demux12	Demux			none	
IEEE39bus/SC_Console/Demux13	Demux			none	
IEEE39bus/SC_Console/Demux14	Demux			none	
IEEE39bus/SC_Console/Demux15	Demux			none	
IEEE39bus/SC_Console/Demux2	Demux			none	
IEEE39bus/SC_Console/Demux3	Demux			none	
IEEE39bus/SC_Console/Demux4	Demux			none	
IEEE39bus/SC_Console/Demux6	Demux			none	
IEEE39bus/SC_Console/Demux9	Demux			none	
IEEE39bus/SC_Console/OpComm	Reference			unresolved	opcomm
IEEE39bus/SC_Console/Voltage and Current Bus1	Scope			none	
IEEE39bus/SC_Console/Voltage and Current Bus10	Scope			none	
IEEE39bus/SC_Console/Voltage and Current Bus11	Scope			none	
IEEE39bus/SC_Console/Voltage and Current Bus12	Scope			none	
IEEE39bus/SC_Console/Voltage and Current Bus2	Scope			none	
IEEE39bus/SC_Console/Voltage and Current Bus3	Scope			none	
IEEE39bus/SC_Console/Voltage and Current Bus4	Scope			none	
IEEE39bus/SC_Console/Voltage and Current Bus7	Scope			none	
IEEE39bus/SC_Console/Voltage and Current Bus8	Scope			none	
IEEE39bus/SC_Console/Voltage and Current Bus9	Scope			none	
IEEE39bus/SM_measurement	SubSystem			none	
IEEE39bus/SM_measurement/meas_N sys1	Inport			none	
IEEE39bus/SM_measurement/ meas_N sys2	Inport			none	
IEEE39bus/SM_measurement/meas_W sys 1  	Inport			none	
IEEE39bus/SM_measurement/ meas_W sys 2  	Inport			none	
IEEE39bus/SM_measurement/measu_E sys 1	Inport			none	
IEEE39bus/SM_measurement/measu_E sys 2	Inport			none	
IEEE39bus/SM_measurement/Bus Selector	BusSelector			none	
IEEE39bus/SM_measurement/Constant	Constant			none	
IEEE39bus/SM_measurement/Constant//Realistic Load profile	SubSystem			none	
